Well Name,Depth,Formation,RelPos,Marine,GR,ILD,DeltaPHI,PHIND,PE,Facies,LATITUDE,LONGITUDE,ILD_log10,Lithology,RHOB,Mineralogy,Siliciclastic
SHRIMPLIN,851.3064,A1 SH,1.0,1,77.45,4.613175745603794,9.9,11.915,4.6,3.0,37.978076,-100.987305,0.664,siltstone,2393.499944506104,siliciclastic,True
SHRIMPLIN,851.4588,A1 SH,0.979,1,78.26,4.581418867145335,14.2,12.565,4.1,3.0,37.978076,-100.987305,0.661,siltstone,2416.1198135198133,siliciclastic,True
SHRIMPLIN,851.6112,A1 SH,0.957,1,79.05,4.549880601500486,14.8,13.05,3.6,3.0,37.978076,-100.987305,0.658,siltstone,2404.576056338028,siliciclastic,True
SHRIMPLIN,851.7636,A1 SH,0.936,1,86.1,4.518559443749224,13.9,13.115,3.5,3.0,37.978076,-100.987305,0.655,siltstone,2393.2490708478513,siliciclastic,True
SHRIMPLIN,851.916,A1 SH,0.915,1,74.58,4.436086439314326,13.5,13.3,3.4,3.0,37.978076,-100.987305,0.647,siltstone,2382.6026011560693,siliciclastic,True
SHRIMPLIN,852.0684,A1 SH,0.894,1,73.97,4.325138310350087,14.0,13.385,3.6,3.0,37.978076,-100.987305,0.636,siltstone,2384.517441860465,siliciclastic,True
SHRIMPLIN,852.2208,A1 SH,0.872,1,73.72,4.265795188015927,15.6,13.93,3.7,3.0,37.978076,-100.987305,0.63,siltstone,2380.15308056872,siliciclastic,True
SHRIMPLIN,852.3732,A1 SH,0.83,1,75.65,4.216965034285822,16.5,13.92,3.5,3.0,37.978076,-100.987305,0.625,siltstone,2388.9595808383233,siliciclastic,True
SHRIMPLIN,852.5256,A1 SH,0.809,1,73.79,4.207266283844441,16.2,13.98,3.4,3.0,37.978076,-100.987305,0.624,siltstone,2383.940095465394,siliciclastic,True
SHRIMPLIN,852.678,A1 SH,0.787,1,76.89,4.120975190973302,16.9,14.22,3.5,3.0,37.978076,-100.987305,0.615,siltstone,2381.480685920578,siliciclastic,True
SHRIMPLIN,852.8304,A1 SH,0.766,1,76.11,3.981071705534972,14.8,13.375,3.6,3.0,37.978076,-100.987305,0.5999999999999999,siltstone,2392.750938967136,siliciclastic,True
SHRIMPLIN,852.9828,A1 SH,0.745,1,74.95,3.8282474331682255,13.3,12.69,3.7,3.0,37.978076,-100.987305,0.5829999999999999,siltstone,2402.4129757785468,siliciclastic,True
SHRIMPLIN,853.1352,A1 SH,0.723,1,71.87,3.639150361272072,11.3,12.475,3.5,3.0,37.978076,-100.987305,0.5610000000000002,siltstone,2389.157891770011,siliciclastic,True
SHRIMPLIN,853.2876,A1 SH,0.702,1,83.42,3.443499307633385,13.3,14.93,3.4,3.0,37.978076,-100.987305,0.537,siltstone,2322.320703575548,siliciclastic,True
SHRIMPLIN,853.44,A1 SH,0.681,1,90.1,3.303695410368148,14.3,16.555,3.2,2.0,37.978076,-100.987305,0.519,siltstone,2272.8110268378064,siliciclastic,True
SHRIMPLIN,853.5924,A1 SH,0.638,1,78.15,2.930893245250321,11.8,15.96,3.1,2.0,37.978076,-100.987305,0.467,siltstone,2271.947619047619,siliciclastic,True
